Region	Mineral	Mine Name	lon	lat
C	Gold, Silver	FERREIRA ESTATE & INVEST CO - SLOT 8 	27.9161125	-26.1794173
C	Gold 	Kagiso 273 IQ 	27.768352	-26.154681
C	Gold 	Witpoortjie 245 IQ 	27.83059	-26.12719
C	Gold, Silver	AERTON 320 IQ & GLEN LEA 228 IQ & RANDGLEN 229 IQ & ROBINSON 82 IR 	27.9161125	-26.1794173
C	Gold 	Luipaardsvlei 246 IQ 	27.7772838	-26.1077424
C	Gold, Silver	GEMSBOKFONTEIN 290 IQ & ZUURBULT 240 IQ 	27.76632	-26.24802
C	Coal	New Clydesdale Colliery 	28.4667189	-26.2771921
C	Coal	RIETFONTEIN 128 IR 29 80 & 81 	28.4630376	-26.2607243
C	Gold, Silver	NIGEL GOLD MINING CO (PTY) LTD 	28.4776372	-26.2548829
C	Coal	Pullenshope 155 IS 	29.62842	-26.01625
C	Coal	Eikeboom 476 JS 	29.58679	-25.90849
C	Coal	Woestalleen 477 JS 	29.62257	-25.92596
C	Coal	Eikeboom 476 JS 	29.58679	-25.90849
C	Coal	Arendsfontein 464 JS 	29.56775	-25.88302
C	Coal	DRIEHOEK 472 JS 	29.592643	-26.015761
C	Gold, Silver	GROOTFONTEIN 165 IR 1 & MARIEVALE NATUURRESERVAAT 282 	28.4455164	-26.3022971
C	Gold, Silver	DRAAIKRAAL 166 IR 7 	28.4786117	-26.4227523
C	Gold, Silver	SPAARWATER 171 IR 	28.430914	-26.3459418
C	Coal	Klipplaat 462 IS 	29.19752	-26.09386
C	Coal	Zondagsvlei 9 IS 	29.0605389	-26.0473904
C	Coal	Kromdraai 486 JS 	29.70731	-25.98159
C	Coal	Woestalleen 477 JS 	29.62257	-25.92596
C	Coal	ZEVENFONTEIN 484 JS 	29.67429	-25.99571
C	Gold, Silver	HOSPITAAL 230 IQ 	27.94304	-26.22479
C	Gold, Silver	VIERFONTEIN 321 IQ 	27.98274	-26.23774
C	Gold, Silver	MOOIFONTEIN 225 IQ 	27.97335	-26.22555
C	Gold, Silver	GEMSBOKFONTEIN 290 IQ 	27.64073	-26.28265
C	Gold, Silver	GEMSPOST 288 IQ 	27.6478	-26.29126
C	Gold, Silver	BRANDVLEI 261 IQ 132 3 	27.6505374	-26.3178076
C	Gold, Silver	MIDDELVLEI 255 IQ 	27.66877	-26.23227
W	Coal	HLOBANE 506 	30.98151	-27.70931
